Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
18.3,30.3,29.5,28,26.6,47.6,1.9,0,0
18.4,30.3,29.5,28,26.6,48.1,2.4,0,0
18.5,30.2,29.4,27.9,26.5,48.4,2.2,0,0
18.6,30.1,29.3,28,26.5,47.6,2,0,0
18.7,30.1,29.3,28,26.5,47.6,2,0,0
18.8,30.3,29.5,28.1,26.6,47.6,2,0,0
18.9,30.2,29.5,27.9,26.5,47.4,2,0,0
19,30.2,29.5,27.9,26.5,47.6,1.9,0,0
19.1,30.3,29.5,28.1,26.5,48.4,1.7,0,0
19.2,30.1,29.4,28,26.5,47.4,2,0,0
19.3,30.1,29.4,28,26.5,47.9,1.7,0,0
19.4,30.1,29.4,28,26.6,47.7,1.7,0,0
19.5,30.2,29.4,28.1,26.5,47.7,2.5,0,0
19.6,30.2,29.4,28.1,26.5,47.7,2.5,0,0
19.7,30.1,29.3,28,26.4,47.7,2,0,0
19.8,30.1,29.3,28,26.4,48.1,2.2,0,0
19.9,30.1,29.6,28,26.6,48.2,2,0,0
20,30.3,29.5,28,26.5,48.4,1.9,0,0
20.1,30.3,29.5,28,26.5,47.9,2.4,0,0
20.2,30.3,29.5,28.1,26.5,47.6,2.2,0,0
20.3,30.3,29.5,28.1,26.5,47.9,2.2,0,0
20.4,30.2,29.4,28,26.6,47.9,2.2,0,0
20.5,30.2,29.4,28,26.6,47.7,2.5,0,0
20.6,30.2,29.4,28,26.6,48.1,2.2,0,0
20.7,30.1,29.4,28,26.5,47.6,1.9,0,0
20.8,30.2,29.5,28.1,26.6,45.4,2.2,0,0
20.9,30.2,29.5,28.1,26.6,47.7,1.7,0,0
21,30.2,29.4,28,26.5,47.7,2.2,0,0
21.1,30.2,29.5,28.1,26.6,47.6,2.2,0,0
21.2,30.2,29.5,28.1,26.6,47.9,1.9,0,0
21.3,30.3,29.4,28,26.5,47.6,2.2,0,0
21.4,30.2,29.4,27.9,26.5,47.7,1.7,0,0
21.5,30.2,29.4,27.9,26.5,47.6,1.9,0,0
21.6,30.2,29.4,28.1,26.5,48.2,1.7,0,0
21.7,30.2,29.4,28.1,26.5,48.1,1.7,0,0
21.8,30.1,29.4,27.9,26.5,47.7,2.4,0,0
21.9,30.2,29.5,28.1,26.6,47.7,1.9,0,0
22,30.2,29.5,28.1,26.6,48.1,2,0,0
22.1,30.3,29.4,28,26.5,47.7,1.9,0,0
22.2,30.3,29.5,28,26.5,48.1,1.9,0,0
22.3,30.3,29.5,28,26.5,47.6,2,0,0
22.4,30.2,29.4,28.1,26.5,47.6,1.6,0,0
22.5,30.1,29.4,28.1,26.5,47.6,1.6,0,0
22.6,30.1,29.4,28.1,26.5,47.7,2,0,0
22.7,30.1,29.4,28,26.5,47.9,2.2,0,0
22.8,30.1,29.4,28,26.5,45.7,2.4,0,0
22.9,30.2,29.4,28.1,26.5,48.1,2.2,0,0
23,30.2,29.4,28.1,26.6,48.1,2,0,0
23.1,30.2,29.4,28.1,26.6,47.4,1.9,0,0
23.2,30.2,29.4,28,26.6,47.7,2.2,0,0
23.3,30.2,29.5,27.9,26.4,47.7,2,0,0
23.4,30.2,29.5,27.9,26.4,48.7,-0.6,0,0
23.5,30.3,29.5,28,26.5,48.2,2.5,0,0
23.6,30.4,29.4,28,26.5,48.8,2.4,0,0
23.7,30.4,29.4,28,26.5,48.7,2.2,0,0
23.8,30.4,29.4,28.1,26.5,48.2,1.6,0,0
23.9,30.4,29.4,28.1,26.5,48.4,2.2,0,0
24,30.5,29.3,28,26.4,47.7,2.4,0,0
24.1,30.5,29.4,28,26.5,47.6,2.4,0,0
24.2,30.5,29.4,28,26.5,48.7,1.9,0,0
24.3,30.4,29.3,27.9,26.5,48.1,1.7,0,0
24.4,30.5,29.3,28,26.4,48.4,2.2,0,0
24.5,30.5,29.3,28,26.4,48.5,3,0,0
24.6,30.4,29.4,28,26.5,48.1,1.6,0,0
24.7,30.5,29.5,27.9,26.6,48.4,1.9,0,0
24.8,30.5,29.5,27.9,26.6,48.4,2.2,0,0
24.9,30.5,29.5,28.1,26.6,48.5,2.5,0,0
25,30.5,29.4,28,26.6,48.8,2.2,0,0
25.1,30.5,29.4,28,26.6,48.1,1.6,0,0
25.2,30.3,29.3,28,26.4,48.2,1.9,0,0
25.3,30.4,29.4,28,26.5,47.9,1.6,0,0
25.4,30.4,29.4,28,26.5,47.9,1.6,0,0
25.5,30.3,29.3,28,26.4,48.4,1.9,0,0
25.6,30.3,29.3,28,26.4,48.1,1.7,0,0
25.7,30.4,29.5,28.1,26.5,48.2,1.4,0,0
25.8,30.4,29.5,28,26.6,48.7,1.9,0,0
25.9,30.4,29.5,28,26.6,48.2,2.2,0,0
26,30.3,29.4,27.9,26.5,48.4,1.4,0,0
26.1,30.3,29.4,27.9,26.6,48.5,2.2,0,0
26.2,30.3,29.4,27.9,26.6,48.4,1.9,0,0
26.3,30.4,29.4,28,26.6,48.5,2,0,0
26.4,30.4,29.4,28.1,26.7,48.5,2,0,0
26.5,30.4,29.4,28.1,26.7,48.7,2.2,0,0
26.6,30.3,29.4,27.9,26.4,48.2,1.7,0,0
26.7,30.3,29.4,27.9,26.4,48.1,1.9,0,0
26.8,30.4,29.4,28.1,26.5,48.1,1.7,0,0
26.9,30.3,29.4,28,26.6,48.1,2.2,0,0
27,30.3,29.4,28,26.6,48.2,1.9,0,0
27.1,30.3,29.5,28.1,26.6,48.4,2.2,0,0
27.2,30.3,29.4,28,26.6,48.2,2,0,0
27.3,30.3,29.4,28,26.6,48.2,2,0,0
27.4,30.2,29.4,28,26.5,48.2,1.9,0,0
27.5,30.2,29.4,28,26.4,48.1,2.2,0,0
27.6,30.2,29.4,28,26.4,48.5,2,0,0
27.7,30.3,29.3,27.9,26.5,48.2,2.2,0,0
27.8,30.3,29.4,28.1,26.6,47.9,2.2,0,0
27.9,30.3,29.4,28.1,26.6,48.4,2.2,0,0
28,30.3,29.4,27.9,26.6,48.5,2.4,0,0
28.1,30.2,29.3,28,26.5,48.5,1.7,0,0
28.2,30.2,29.3,28,26.5,48.5,1.7,0,0
28.3,30.4,29.4,28.1,26.6,48.7,2.2,0,0
28.4,30.2,29.4,27.9,26.5,47.9,1.9,0,0
28.5,30.2,29.4,27.9,26.5,48.5,2,0,0
28.6,30.2,29.3,27.9,26.6,48.4,1.9,0,0
28.7,30.2,29.4,28,26.5,48.7,1.7,0,0
28.8,30.2,29.4,28,26.5,48.5,1.4,0,0
28.9,30.4,29.5,28,26.5,48.1,1.9,0,0
29,30.3,29.5,28,26.5,48.4,1.9,0,0
29.1,30.3,29.5,28,26.5,48.2,1.6,0,0
29.2,30.2,29.4,28,26.5,48.7,2.4,0,0
29.3,30.2,29.4,27.9,26.5,48.4,2.2,0,0
29.4,30.2,29.4,27.9,26.5,48.7,1.9,0,0
29.5,30.2,29.5,28,26.6,48.2,1.9,0,0
29.6,30.2,29.5,28,26.6,48.4,-0.3,0,0
29.7,30,29.3,27.9,26.4,48.7,1.7,0,0
29.8,30.1,29.3,28,26.5,48.4,2.5,0,0
29.9,30.1,29.3,28,26.5,48.4,1.9,0,0
30,30.4,29.4,28.1,26.6,48.4,1.9,0,0
30.1,30.2,29.3,28,26.4,48.2,2.2,0,0
30.2,30.2,29.3,28,26.4,48.2,2.2,0,0
30.3,30.3,29.4,28,26.6,48.4,1.9,0,0
30.4,30.1,29.4,28,26.5,48.5,2.5,0,0
30.5,30.1,29.4,28,26.5,48.4,2.5,0,0
30.6,30.2,29.5,28,26.7,48.5,2.2,0,0
30.7,30.3,29.4,28.1,26.5,48.1,1.4,0,0
30.8,30.3,29.4,28.1,26.5,48.2,2.2,0,0
30.9,30.1,29.3,27.9,26.5,48.2,2.2,0,0
31,30.2,29.4,28,26.6,48.5,2,0,0
31.1,30.2,29.4,28,26.6,48.5,1.9,0,0
31.2,30.1,29.3,28,26.5,48.2,2.4,0,0
31.3,30.2,29.3,28,26.5,47.7,1.9,0,0
31.4,30.2,29.3,28,26.5,48.2,1.7,0,0
31.5,30.2,29.4,28.1,26.4,48.2,2,0,0
31.6,30.1,29.4,28,26.5,48.5,1.7,0,0
31.7,30.1,29.4,28,26.5,47.9,1.7,0,0
31.8,30.3,29.5,28.1,26.6,48.5,2.2,0,0
31.9,30.3,29.5,28.1,26.6,48.5,2.2,0,0
32,30.1,29.4,28,26.6,48.4,2.5,0,0
32.1,30.2,29.4,28,26.5,49.1,1.6,0,0
32.2,30.2,29.4,28,26.5,48.4,2,0,0
32.3,30.1,29.4,27.9,26.5,48.2,2.5,0,0
32.4,30.3,29.5,28.1,26.6,49,2.2,0,0
32.5,30.3,29.5,28.1,26.6,48.7,1.6,0,0
32.6,30.3,29.3,28,26.5,48.7,2,0,0
32.7,30.1,29.3,27.8,26.4,47.9,1.6,0,0
32.8,30.1,29.3,27.8,26.4,48.5,1.9,0,0
32.9,30.2,29.5,28.1,26.6,48.5,1.7,0,0
33,30.1,29.6,28,26.6,48.4,2.2,0,0
33.1,30.1,29.6,28,26.6,47.9,1.6,0,0
33.2,30.2,29.5,28.1,26.6,48.7,1.9,0,0
33.3,30.2,29.4,28.1,26.6,48.2,1.9,0,0
